"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
20 Oct 2029 08:34:50.366,20 Oct 2029 08:35:11.440,20 Oct 2029 08:37:42.169,20 Oct 2029 08:38:03.481,"Jupiter",193.114,100.000000,20 Oct 2029 08:35:11.440
23 Oct 2029 06:33:10.425,23 Oct 2029 06:33:23.237,23 Oct 2029 06:37:57.840,23 Oct 2029 06:38:10.938,"Jupiter",300.513,100.000000,23 Oct 2029 06:33:23.237
26 Oct 2029 04:31:45.501,26 Oct 2029 04:31:55.678,26 Oct 2029 04:37:53.626,26 Oct 2029 04:38:04.131,"Jupiter",378.630,100.000000,26 Oct 2029 04:31:55.678
29 Oct 2029 02:30:27.721,29 Oct 2029 02:30:36.493,29 Oct 2029 02:37:41.793,29 Oct 2029 02:37:50.943,"Jupiter",443.222,100.000000,29 Oct 2029 02:30:36.493
1 Nov 2029 00:29:14.448,1 Nov 2029 00:29:22.323,1 Nov 2029 00:37:25.702,1 Nov 2029 00:37:34.002,"Jupiter",499.554,100.000000,1 Nov 2029 00:29:22.323
3 Nov 2029 22:28:04.411,3 Nov 2029 22:28:11.655,3 Nov 2029 22:37:06.870,3 Nov 2029 22:37:14.589,"Jupiter",550.179,100.000000,3 Nov 2029 22:28:11.655
6 Nov 2029 20:26:56.879,6 Nov 2029 20:27:03.650,6 Nov 2029 20:36:46.131,6 Nov 2029 20:36:53.425,"Jupiter",596.546,100.000000,6 Nov 2029 20:27:03.650
9 Nov 2029 18:25:51.390,9 Nov 2029 18:25:57.791,9 Nov 2029 18:36:24.006,9 Nov 2029 18:36:30.983,"Jupiter",639.592,100.000000,9 Nov 2029 18:25:57.791
12 Nov 2029 16:24:47.620,12 Nov 2029 16:24:53.725,12 Nov 2029 16:36:00.852,12 Nov 2029 16:36:07.582,"Jupiter",679.962,100.000000,12 Nov 2029 16:24:53.725
15 Nov 2029 14:23:45.342,15 Nov 2029 14:23:51.205,15 Nov 2029 14:35:36.918,15 Nov 2029 14:35:43.454,"Jupiter",718.112,100.000000,15 Nov 2029 14:23:51.205
18 Nov 2029 12:22:44.384,18 Nov 2029 12:22:50.040,18 Nov 2029 12:35:12.399,18 Nov 2029 12:35:18.782,"Jupiter",754.398,100.000000,18 Nov 2029 12:22:50.040
21 Nov 2029 10:21:44.608,21 Nov 2029 10:21:50.094,21 Nov 2029 10:34:47.435,21 Nov 2029 10:34:53.696,"Jupiter",789.088,100.000000,21 Nov 2029 10:21:50.094
24 Nov 2029 08:20:45.914,24 Nov 2029 08:20:51.248,24 Nov 2029 08:34:22.146,24 Nov 2029 08:34:28.311,"Jupiter",822.396,100.000000,24 Nov 2029 08:20:51.248
27 Nov 2029 06:19:48.212,27 Nov 2029 06:19:53.417,27 Nov 2029 06:33:56.629,27 Nov 2029 06:34:02.718,"Jupiter",854.506,100.000000,27 Nov 2029 06:19:53.417
30 Nov 2029 04:18:51.432,30 Nov 2029 04:18:56.525,30 Nov 2029 04:33:30.965,30 Nov 2029 04:33:36.995,"Jupiter",885.564,100.000000,30 Nov 2029 04:18:56.525
3 Dec 2029 02:17:55.515,3 Dec 2029 02:18:00.511,3 Dec 2029 02:33:05.224,3 Dec 2029 02:33:11.211,"Jupiter",915.696,100.000000,3 Dec 2029 02:18:00.511
6 Dec 2029 00:17:00.409,6 Dec 2029 00:17:05.320,6 Dec 2029 00:32:39.466,6 Dec 2029 00:32:45.423,"Jupiter",945.013,100.000000,6 Dec 2029 00:17:05.320
8 Dec 2029 22:16:06.077,8 Dec 2029 22:16:10.913,8 Dec 2029 22:32:13.745,8 Dec 2029 22:32:19.683,"Jupiter",973.606,100.000000,8 Dec 2029 22:16:10.913
11 Dec 2029 20:15:12.479,11 Dec 2029 20:15:17.251,11 Dec 2029 20:31:48.110,11 Dec 2029 20:31:54.037,"Jupiter",1001.558,100.000000,11 Dec 2029 20:15:17.251
14 Dec 2029 18:14:19.586,14 Dec 2029 18:14:24.300,14 Dec 2029 18:31:22.603,14 Dec 2029 18:31:28.530,"Jupiter",1028.944,100.000000,14 Dec 2029 18:14:24.300
17 Dec 2029 16:13:27.371,17 Dec 2029 16:13:32.035,17 Dec 2029 16:30:57.269,17 Dec 2029 16:31:03.203,"Jupiter",1055.832,100.000000,17 Dec 2029 16:13:32.035
20 Dec 2029 14:12:35.811,20 Dec 2029 14:12:40.432,20 Dec 2029 14:30:32.145,20 Dec 2029 14:30:38.094,"Jupiter",1082.283,100.000000,20 Dec 2029 14:12:40.432
23 Dec 2029 12:11:44.886,23 Dec 2029 12:11:49.470,23 Dec 2029 12:30:07.266,23 Dec 2029 12:30:13.235,"Jupiter",1108.349,100.000000,23 Dec 2029 12:11:49.470
26 Dec 2029 10:10:54.581,26 Dec 2029 10:10:59.133,26 Dec 2029 10:29:42.665,26 Dec 2029 10:29:48.664,"Jupiter",1134.083,100.000000,26 Dec 2029 10:10:59.133
29 Dec 2029 08:10:04.878,29 Dec 2029 08:10:09.407,29 Dec 2029 08:29:18.381,29 Dec 2029 08:29:24.415,"Jupiter",1159.536,100.000000,29 Dec 2029 08:10:09.407
1 Jan 2030 06:09:15.770,1 Jan 2030 06:09:20.278,1 Jan 2030 06:28:54.446,1 Jan 2030 06:29:00.520,"Jupiter",1184.750,100.000000,1 Jan 2030 06:09:20.278
4 Jan 2030 04:08:27.244,4 Jan 2030 04:08:31.737,4 Jan 2030 04:28:30.888,4 Jan 2030 04:28:37.008,"Jupiter",1209.764,100.000000,4 Jan 2030 04:08:31.737
7 Jan 2030 02:07:39.294,7 Jan 2030 02:07:43.776,7 Jan 2030 02:28:07.743,7 Jan 2030 02:28:13.912,"Jupiter",1234.618,100.000000,7 Jan 2030 02:07:43.776
10 Jan 2030 00:06:51.912,10 Jan 2030 00:06:56.389,10 Jan 2030 00:27:45.043,10 Jan 2030 00:27:51.270,"Jupiter",1259.357,100.000000,10 Jan 2030 00:06:56.389
12 Jan 2030 22:06:05.096,12 Jan 2030 22:06:09.570,12 Jan 2030 22:27:22.818,12 Jan 2030 22:27:29.107,"Jupiter",1284.011,100.000000,12 Jan 2030 22:06:09.570
15 Jan 2030 20:05:18.842,15 Jan 2030 20:05:23.320,15 Jan 2030 20:27:01.100,15 Jan 2030 20:27:07.455,"Jupiter",1308.612,100.000000,15 Jan 2030 20:05:23.320
18 Jan 2030 18:04:33.151,18 Jan 2030 18:04:37.635,18 Jan 2030 18:26:39.921,18 Jan 2030 18:26:46.346,"Jupiter",1333.195,100.000000,18 Jan 2030 18:04:37.635
