"Time (UTCG)","x (km)","y (km)","z (km)"
1 Jul 2029 13:09:58.699,717236232.110317,361875957.789717,137699698.342212
1 Jul 2029 14:09:58.699,717186189.410615,361904505.173211,137711732.310570
1 Jul 2029 15:09:58.699,717136275.496028,361932648.175987,137723577.808970
1 Jul 2029 16:09:58.699,717086497.369424,361960388.579974,137735235.779871
1 Jul 2029 17:09:58.699,717036862.004265,361987728.267472,137746707.212587
1 Jul 2029 18:09:58.699,716987376.342824,362014669.220828,137757993.143104
1 Jul 2029 19:09:58.699,716938047.294395,362041213.522109,137769094.653899
1 Jul 2029 20:09:58.699,716888881.733534,362067363.352728,137780012.873743
1 Jul 2029 21:09:58.699,716839886.498284,362093120.993058,137790748.977485
1 Jul 2029 22:09:58.699,716791068.388429,362118488.822008,137801304.185835
1 Jul 2029 23:09:58.699,716742434.163732,362143469.316572,137811679.765118
2 Jul 2029 00:09:58.699,716693990.542192,362168065.051355,137821877.027029
2 Jul 2029 01:09:58.699,716645744.198312,362192278.698056,137831897.328367
2 Jul 2029 02:09:58.699,716597701.761361,362216113.024938,137841742.070752
2 Jul 2029 03:09:58.699,716549869.813659,362239570.896251,137851412.700334
2 Jul 2029 04:09:58.699,716502254.888857,362262655.271644,137860910.707488
2 Jul 2029 05:09:58.699,716454863.470229,362285369.205530,137870237.626494
2 Jul 2029 06:09:58.699,716407701.988979,362307715.846439,137879395.035201
2 Jul 2029 07:09:58.699,716360776.822547,362329698.436334,137888384.554683
2 Jul 2029 08:09:58.699,716314094.292940,362351320.309898,137897207.848880
2 Jul 2029 09:09:58.699,716267660.665052,362372584.893801,137905866.624227
2 Jul 2029 10:09:58.699,716221482.145010,362393495.705937,137914362.629270
2 Jul 2029 11:09:58.699,716175564.878527,362414056.354633,137922697.654269
2 Jul 2029 12:09:58.699,716129914.949265,362434270.537828,137930873.530790
2 Jul 2029 13:09:58.699,716084538.377205,362454142.042243,137938892.131285
2 Jul 2029 14:09:58.699,716039441.117034,362473674.742505,137946755.368660
2 Jul 2029 15:09:58.699,715994629.056536,362492872.600257,137954465.195834
2 Jul 2029 16:09:58.699,715950108.015002,362511739.663248,137962023.605280
2 Jul 2029 17:09:58.699,715905883.741645,362530280.064387,137969432.628562
2 Jul 2029 18:09:58.699,715861961.914021,362548498.020788,137976694.335860
2 Jul 2029 19:09:58.699,715818348.136469,362566397.832788,137983810.835486
2 Jul 2029 20:09:58.699,715775047.938555,362583983.882945,137990784.273384
2 Jul 2029 21:09:58.699,715732066.773526,362601260.635024,137997616.832634
2 Jul 2029 22:09:58.699,715689410.016775,362618232.632962,138004310.732941
2 Jul 2029 23:09:58.699,715647082.964307,362634904.499830,138010868.230122
3 Jul 2029 00:09:58.699,715605090.831221,362651280.936775,138017291.615582
3 Jul 2029 01:09:58.699,715563438.750088,362667366.722053,138023583.215841
3 Jul 2029 02:09:58.699,715522131.769881,362683166.709835,138029745.391950
3 Jul 2029 03:09:58.699,715481174.854410,362698685.829085,138035780.538943
3 Jul 2029 04:09:58.699,715440572.880975,362713929.082518,138041691.085326
3 Jul 2029 05:09:58.699,715400330.639184,362728901.545317,138047479.492453
3 Jul 2029 06:09:58.699,715360452.829738,362743608.363820,138053148.253895
3 Jul 2029 07:09:58.699,715320944.063208,362758054.754178,138058699.894787
3 Jul 2029 08:09:58.699,715281808.858795,362772246.001000,138064136.971170
3 Jul 2029 09:09:58.699,715243051.643085,362786187.455981,138069462.069329
3 Jul 2029 10:09:58.699,715204676.748818,362799884.536516,138074677.805120
3 Jul 2029 11:09:58.699,715166688.413654,362813342.724310,138079786.823296
3 Jul 2029 12:09:58.699,715129090.778968,362826567.563971,138084791.796830
3 Jul 2029 13:09:58.699,715091887.888642,362839564.661606,138089695.426229
3 Jul 2029 14:09:58.699,715055083.687895,362852339.683398,138094500.438853
3 Jul 2029 15:09:58.699,715018682.022132,362864898.354173,138099209.588218
3 Jul 2029 16:09:58.699,714982686.635813,362877246.455958,138103825.653302
3 Jul 2029 17:09:58.699,714947101.171363,362889389.826525,138108351.437844
3 Jul 2029 18:09:58.699,714911929.168091,362901334.357919,138112789.769631
3 Jul 2029 19:09:58.699,714877174.061160,362913085.994972,138117143.499787
3 Jul 2029 20:09:58.699,714842839.180570,362924650.733797,138121415.502043
3 Jul 2029 21:09:58.699,714808927.750190,362936034.620268,138125608.672013
3 Jul 2029 22:09:58.699,714775442.886805,362947243.748475,138129725.926448
3 Jul 2029 23:09:58.699,714742387.599207,362958284.259170,138133770.202491
4 Jul 2029 00:09:58.699,714709764.787311,362969162.338190,138137744.456922
4 Jul 2029 01:09:58.699,714677577.241311,362979884.214857,138141651.665392
4 Jul 2029 02:09:58.699,714645827.640859,362990456.160376,138145494.821654
4 Jul 2029 03:09:58.699,714614518.554286,363000884.486195,138149276.936781
4 Jul 2029 04:09:58.699,714583652.437847,363011175.542376,138153001.038386
4 Jul 2029 05:09:58.699,714553231.635007,363021335.715927,138156670.169826
4 Jul 2029 06:09:58.699,714523258.375748,363031371.429139,138160287.389410
4 Jul 2029 07:09:58.699,714493734.775926,363041289.137902,138163855.769590
4 Jul 2029 08:09:58.699,714464662.836640,363051095.330008,138167378.396160
4 Jul 2029 09:09:58.699,714436044.443649,363060796.523442,138170858.367439
4 Jul 2029 10:09:58.699,714407881.366820,363070399.264662,138174298.793447
4 Jul 2029 11:09:58.699,714380175.259598,363079910.126853,138177702.795083
4 Jul 2029 12:09:58.699,714352927.658595,363089335.708107,138181073.503255
4 Jul 2029 13:09:58.699,714326139.982729,363098682.629861,138184414.058136
4 Jul 2029 14:09:58.699,714299813.533520,363107957.534992,138187727.608266
4 Jul 2029 15:09:58.699,714273949.494423,363117167.085701,138191017.309545
4 Jul 2029 16:09:58.699,714248548.929863,363126317.962262,138194286.324632
4 Jul 2029 17:09:58.699,714223612.785261,363135416.861113,138197537.822047
4 Jul 2029 18:09:58.699,714199141.886849,363144470.492962,138200774.975275
4 Jul 2029 19:09:58.699,714175136.941378,363153485.580914,138204000.961876
4 Jul 2029 20:09:58.699,714151598.535750,363162468.858623,138207218.962611
4 Jul 2029 21:09:58.699,714128527.136648,363171427.068480,138210432.160584
4 Jul 2029 22:09:58.699,714105923.090188,363180366.959820,138213643.740391
4 Jul 2029 23:09:58.699,714083786.621617,363189295.287154,138216856.887285
5 Jul 2029 00:09:58.699,714062117.835077,363198218.808426,138220074.786354
5 Jul 2029 01:09:58.699,714040916.713445,363207144.283279,138223300.621700
5 Jul 2029 02:09:58.699,714020183.118248,363216078.471328,138226537.575629
5 Jul 2029 03:09:58.699,713999916.789661,363225028.130439,138229788.827841
5 Jul 2029 04:09:58.699,713980117.346559,363234000.015010,138233057.554620
5 Jul 2029 05:09:58.699,713960784.286653,363243000.874232,138236346.928020
5 Jul 2029 06:09:58.699,713941916.986672,363252037.450357,138239660.115052
5 Jul 2029 07:09:58.699,713923514.702595,363261116.476942,138243000.276860
5 Jul 2029 08:09:58.699,713905576.569925,363270244.677080,138246370.567896
5 Jul 2029 09:09:58.699,713888101.603994,363279428.761629,138249774.135085
5 Jul 2029 10:09:58.699,713871088.700293,363288675.427420,138253214.116989
5 Jul 2029 11:09:58.699,713854536.634828,363297991.355454,138256693.642964
5 Jul 2029 12:09:58.699,713838444.064497,363307383.209106,138260215.832316
5 Jul 2029 13:09:58.699,713822809.527481,363316857.632316,138263783.793455
5 Jul 2029 14:09:58.699,713807631.443657,363326421.247787,138267400.623055
5 Jul 2029 15:09:58.699,713792908.115036,363336080.655195,138271069.405212
5 Jul 2029 16:09:58.699,713778637.726223,363345842.429403,138274793.210613
5 Jul 2029 17:09:58.699,713764818.344910,363355713.118696,138278575.095709
5 Jul 2029 18:09:58.699,713751447.922402,363365699.243032,138282418.101898
5 Jul 2029 19:09:58.699,713738524.294180,363375807.292305,138286325.254717
5 Jul 2029 20:09:58.699,713726045.180508,363386043.724625,138290299.563040
5 Jul 2029 21:09:58.699,713714008.187075,363396414.964600,138294344.018274
5 Jul 2029 22:09:58.699,713702410.805678,363406927.401615,138298461.593562
5 Jul 2029 23:09:58.699,713691250.414928,363417587.388087,138302655.242971
6 Jul 2029 00:09:58.699,713680524.281009,363428401.237552,138306927.900595
6 Jul 2029 01:09:58.699,713670229.558069,363439375.222965,138311282.479765
6 Jul 2029 02:09:58.699,713660363.289496,363450515.575799,138315721.872645
6 Jul 2029 03:09:58.699,713650922.408705,363461828.483260,138320248.948927
6 Jul 2029 04:09:58.699,713641903.739579,363473320.087395,138324866.555418
6 Jul 2029 05:09:58.699,713633303.997545,363484996.483346,138329577.515234
6 Jul 2029 06:09:58.699,713625119.790573,363496863.717669,138334384.627023
6 Jul 2029 07:09:58.699,713617347.620139,363508927.786702,138339290.664208
6 Jul 2029 08:09:58.699,713609983.882197,363521194.634969,138344298.374251
6 Jul 2029 09:09:58.699,713603024.868161,363533670.153628,138349410.477933
6 Jul 2029 10:09:58.699,713596466.765930,363546360.178933,138354629.668650
6 Jul 2029 11:09:58.699,713590305.660945,363559270.490732,138359958.611717
6 Jul 2029 12:09:58.699,713584537.537301,363572406.810971,138365399.943678
6 Jul 2029 13:09:58.699,713579158.278884,363585774.802213,138370956.271630
6 Jul 2029 14:09:58.699,713574163.670557,363599380.066166,138376630.172542
6 Jul 2029 15:09:58.699,713569549.399372,363613228.142219,138382424.192584
6 Jul 2029 16:09:58.699,713565311.055805,363627324.505984,138388340.846461
6 Jul 2029 17:09:58.699,713561444.135007,363641674.567840,138394382.616740
6 Jul 2029 18:09:58.699,713557944.038077,363656283.671492,138400551.953195
6 Jul 2029 19:09:58.699,713554806.073331,363671157.092536,138406851.272147
6 Jul 2029 20:09:58.699,713552025.457586,363686300.037043,138413282.955815
6 Jul 2029 21:09:58.699,713549597.317444,363701717.640156,138419849.351679
6 Jul 2029 22:09:58.699,713547516.690587,363717414.964714,138426552.771844
6 Jul 2029 23:09:58.699,713545778.527079,363733396.999902,138433395.492431
7 Jul 2029 00:09:58.699,713544377.690683,363749668.659939,138440379.752975
7 Jul 2029 01:09:58.699,713543308.960201,363766234.782798,138447507.755841
7 Jul 2029 02:09:58.699,713542567.030837,363783100.128972,138454781.665668
7 Jul 2029 03:09:58.699,713542146.515607,363800269.380282,138462203.608823
7 Jul 2029 04:09:58.699,713542041.946772,363817747.138732,138469775.672885
7 Jul 2029 05:09:58.699,713542247.777341,363835537.925407,138477499.906149
7 Jul 2029 06:09:58.699,713542758.382605,363853646.179413,138485378.317148
7 Jul 2029 07:09:58.699,713543568.061729,363872076.256850,138493412.874190
7 Jul 2029 08:09:58.699,713544671.039393,363890832.429809,138501605.504910
7 Jul 2029 09:09:58.699,713546061.467455,363909918.885372,138509958.095827
7 Jul 2029 10:09:58.699,713547733.426632,363929339.724611,138518472.491887
7 Jul 2029 11:09:58.699,713549680.928166,363949098.961532,138527150.495999
7 Jul 2029 12:09:58.699,713551897.915404,363969200.521851,138535993.868477
7 Jul 2029 13:09:58.699,713554378.265078,363989648.241669,138545004.326438
7 Jul 2029 14:09:58.699,713557115.789511,364010445.867948,138554183.544056
7 Jul 2029 15:09:58.699,713560104.238099,364031597.056382,138563533.151582
7 Jul 2029 16:09:58.699,713563337.298971,364053105.370935,138573054.735148
7 Jul 2029 17:09:58.699,713566808.600720,364074974.282955,138582749.836382
7 Jul 2029 18:09:58.699,713570511.714137,364097207.170336,138592619.952033
7 Jul 2029 19:09:58.699,713574440.153943,364119807.316721,138602666.533621
7 Jul 2029 20:09:58.699,713578587.380541,364142777.910723,138612890.987101
7 Jul 2029 21:09:58.699,713582946.801767,364166122.045194,138623294.672541
