"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
26 Mar 2030 21:44:27.359,N/A,N/A,26 Mar 2030 21:45:40.896,"Europa",73.537,52.737539,26 Mar 2030 21:45:01.725
10 Aug 2031 10:03:35.725,10 Aug 2031 10:04:12.790,10 Aug 2031 10:05:54.349,10 Aug 2031 10:06:31.376,"Io",175.652,100.000000,10 Aug 2031 10:04:12.790
13 Aug 2031 08:11:21.604,13 Aug 2031 08:12:06.351,13 Aug 2031 08:26:04.982,13 Aug 2031 08:26:43.731,"Jupiter",922.127,100.000000,13 Aug 2031 08:12:06.351
16 Aug 2031 06:07:58.846,16 Aug 2031 06:08:29.099,16 Aug 2031 06:29:44.389,16 Aug 2031 06:30:08.747,"Jupiter",1329.901,100.000000,16 Aug 2031 06:08:29.099
19 Aug 2031 04:05:38.282,19 Aug 2031 04:06:02.789,19 Aug 2031 04:32:14.247,19 Aug 2031 04:32:32.957,"Jupiter",1614.675,100.000000,19 Aug 2031 04:06:02.789
22 Aug 2031 02:03:49.958,22 Aug 2031 02:04:11.138,22 Aug 2031 02:34:10.653,22 Aug 2031 02:34:26.130,"Jupiter",1836.173,100.000000,22 Aug 2031 02:04:11.138
25 Aug 2031 00:02:22.641,25 Aug 2031 00:02:41.567,25 Aug 2031 00:35:46.003,25 Aug 2031 00:35:59.321,"Jupiter",2016.680,100.000000,25 Aug 2031 00:02:41.567
27 Aug 2031 22:01:10.544,27 Aug 2031 22:01:27.804,27 Aug 2031 22:37:06.419,27 Aug 2031 22:37:18.162,"Jupiter",2167.619,100.000000,27 Aug 2031 22:01:27.804
30 Aug 2031 20:00:10.170,30 Aug 2031 20:00:26.127,30 Aug 2031 20:38:15.476,30 Aug 2031 20:38:26.005,"Jupiter",2295.835,100.000000,30 Aug 2031 20:00:26.127
2 Sep 2031 17:59:19.182,2 Sep 2031 17:59:34.080,2 Sep 2031 18:39:15.497,2 Sep 2031 18:39:25.051,"Jupiter",2405.869,100.000000,2 Sep 2031 17:59:34.080
5 Sep 2031 15:58:35.913,5 Sep 2031 15:58:49.925,5 Sep 2031 16:40:08.086,5 Sep 2031 16:40:16.839,"Jupiter",2500.926,100.000000,5 Sep 2031 15:58:49.925
8 Sep 2031 13:57:59.116,8 Sep 2031 13:58:12.369,8 Sep 2031 14:40:54.442,8 Sep 2031 14:41:02.524,"Jupiter",2583.408,100.000000,8 Sep 2031 13:58:12.369
11 Sep 2031 11:57:27.819,11 Sep 2031 11:57:40.410,11 Sep 2031 12:41:35.464,11 Sep 2031 12:41:42.966,"Jupiter",2655.147,100.000000,11 Sep 2031 11:57:40.410
14 Sep 2031 09:57:01.250,14 Sep 2031 09:57:13.261,14 Sep 2031 10:42:11.851,14 Sep 2031 10:42:18.852,"Jupiter",2717.602,100.000000,14 Sep 2031 09:57:13.261
17 Sep 2031 07:56:38.767,17 Sep 2031 07:56:50.259,17 Sep 2031 08:42:44.180,17 Sep 2031 08:42:50.744,"Jupiter",2771.977,100.000000,17 Sep 2031 07:56:50.259
20 Sep 2031 05:56:19.853,20 Sep 2031 05:56:30.879,20 Sep 2031 06:43:12.909,20 Sep 2031 06:43:19.085,"Jupiter",2819.232,100.000000,20 Sep 2031 05:56:30.879
23 Sep 2031 03:56:04.062,23 Sep 2031 03:56:14.660,23 Sep 2031 04:43:38.435,23 Sep 2031 04:43:44.265,"Jupiter",2860.203,100.000000,23 Sep 2031 03:56:14.660
26 Sep 2031 01:55:51.014,26 Sep 2031 01:56:01.222,26 Sep 2031 02:44:01.089,26 Sep 2031 02:44:06.608,"Jupiter",2895.594,100.000000,26 Sep 2031 01:56:01.222
28 Sep 2031 23:55:40.379,28 Sep 2031 23:55:50.228,29 Sep 2031 00:44:21.140,29 Sep 2031 00:44:26.380,"Jupiter",2926.001,100.000000,28 Sep 2031 23:55:50.228
1 Oct 2031 21:55:31.876,1 Oct 2031 21:55:41.393,1 Oct 2031 22:44:38.841,1 Oct 2031 22:44:43.829,"Jupiter",2951.953,100.000000,1 Oct 2031 21:55:41.393
4 Oct 2031 19:55:25.252,4 Oct 2031 19:55:34.460,4 Oct 2031 20:44:54.409,4 Oct 2031 20:44:59.166,"Jupiter",2973.914,100.000000,4 Oct 2031 19:55:34.460
7 Oct 2031 17:55:20.289,7 Oct 2031 17:55:29.209,7 Oct 2031 18:45:08.030,7 Oct 2031 18:45:12.578,"Jupiter",2992.289,100.000000,7 Oct 2031 17:55:29.209
10 Oct 2031 15:55:16.792,10 Oct 2031 15:55:25.442,10 Oct 2031 16:45:19.865,10 Oct 2031 16:45:24.221,"Jupiter",3007.429,100.000000,10 Oct 2031 15:55:25.442
13 Oct 2031 13:55:14.591,13 Oct 2031 13:55:22.985,13 Oct 2031 14:45:30.072,13 Oct 2031 14:45:34.252,"Jupiter",3019.661,100.000000,13 Oct 2031 13:55:22.985
